1;SMJER IZ BIJELO BRDO ZA OSIJEK
86;BRIJEŠÆE DUGA 120 JUG;45.51953414;18.6282855
87;BRIJEŠÆE OKRETIŠTE;45.51720666;18.62874021

89;SMJER IZ ÈEPIN (4) ZA OSIJEK
90;CEPIN 4 KR ZVONIMIRA OKRETIŠTE;45.51399889;18.54278338
91;CEPIN 4 KR ZVONIMIRA 273;45.51676824;18.54826396
92;CEPIN 4 KR ZVONIMIRA 227;45.51995325;18.55418416
93;CEPIN 4 KR ZVONIMIRA 181;45.52172472;18.55759078
94;CEPIN 4 KR ZVONIMIRA 91;45.52338774;18.56510015
95;CEPIN 4 KR ZVONIMIRA 35;45.52350935;18.57070832
96;CEPIN 4 KR ZVONIMIRA CENTAR;45.52374232;18.57574435
97;ÈEPIN OSJEÈKA 48 TREŠNJA;45.52488453;18.5829945
98;ÈEPIN OSJEÈKA 132;45.52612378;18.59050086
99;LIVANA OMLADINSKA 121;45.52910461;18.6088986
100;LIVANA OMLADINSKA 57;45.53024591;18.6155857
101;SV. LEOPOLDA BOGDANA MANDIÆA 219 TOMAN;45.53193753;18.6257053
102;SV. LEOPOLDA BOGDANA MANDIÆA 167 CRKVA;45.53498926;18.6339945
103;SV. LEOPOLDA BOGDANA MANDIÆA ZRAÈNA LUKA;45.54171011;18.64891612
104;SV. LEOPOLDA BOGDANA MANDIÆA ARIŠA;45.54386;18.65394088
105;SV. LEOPOLDA BOGDANA MANDIÆA PANTURIST;45.54975463;18.66692303
106;ŽUPANIJSKA 47 ROTOR ISTOK;45.555152;18.67532768
107;HRVATSKE REPUBLIKE 23;45.55823699;18.67954395
108;GAJEV TRG JUG;45.55734218;18.68462959

110;SMJER IZ ÈEPIN (3) ZA OSIJEK
111;ÈEPIN 3 OVCARA;45.50366043;18.56125765
112;ÈEPIN KRALJA TOMISLAVA 135;45.50943449;18.56710899
113;ÈEPIN KRALJA TOMISLAVA 93;45.51559455;18.56971955
114;ÈEPIN KRALJA TOMISLAVA 51;45.51909141;18.57100146
